,0,1
0,13.1875,22050
1,11.09375,22050
2,9.359375,22050
3,7.1875,22050
4,14.03125,22050
5,8.0625,22050
6,8.03125,22050
7,4.71875,22050
8,9.375,22050
9,9.609375,22050
10,36.328125,22050
11,22.78125,22050
12,53.640625,22050
13,54.65625,22050
14,13.4375,22050
15,11.390625,22050
16,7.734375,22050
17,20.046875,22050
18,3.734375,22050
19,14.375,22050
20,15.171875,22050
21,9.953125,22050
22,6.046875,22050
23,41.953125,22050
24,51.25,22050
25,7.984375,22050
26,7.890625,22050
27,16.8125,22050
28,13.5,22050
29,33.359375,22050
30,5.84375,22050
31,9.125,22050
32,20.015625,22050
33,9.578125,22050
34,3.109375,22050
35,6.421875,22050
36,11.203125,22050
37,13.5,22050
38,9.921875,22050
39,7.640625,22050
40,17.1875,22050
41,11.875,22050
42,2.421875,22050
43,6.046875,22050
44,7.8125,22050
45,3.5,22050
46,9.015625,22050
47,9.5,22050
48,8.453125,22050
49,5.125,22050
50,7.0625,22050
51,5.75,22050
52,10.9375,22050
53,4.046875,22050
54,7.515625,22050
55,9.625,22050
56,11.15625,22050
57,11.234375,22050
58,6.40625,22050
59,2.03125,22050
60,12.0625,22050
61,10.546875,22050
62,9.5,22050
63,1.671875,22050
64,10.9375,22050
65,8.90625,22050
66,14.359375,22050
67,7.140625,22050
68,3.15625,22050
69,13.296875,22050
70,14.671875,22050
71,10.25,22050
72,10.4375,22050
73,13.734375,22050
74,9.890625,22050
75,16.921875,22050
76,13.546875,22050
77,7.9375,22050
78,6.109375,22050
79,13.828125,22050
80,17.25,22050
81,10.140625,22050
82,11.71875,22050
83,12.21875,22050
84,12.328125,22050
85,12.03125,22050
86,11.28125,22050
87,15.421875,22050
88,23.46875,22050
89,42.578125,22050
90,8.4375,22050
91,7.625,22050
92,8.6875,22050
93,8.03125,22050
94,12.703125,22050
95,6.25,22050
96,7.484375,22050
97,6.296875,22050
98,7.75,22050
99,7.71875,22050
100,8.921875,22050
101,6.34375,22050
102,16.921875,22050
103,5.109375,22050
104,8.4375,22050
105,7.484375,22050
106,8.328125,22050
107,12.046875,22050
108,14.953125,22050
109,14.203125,22050
110,6.453125,22050
111,10.03125,22050
112,12.90625,22050
113,9.734375,22050
114,16.515625,22050
115,8.296875,22050
116,6.109375,22050
117,8.0,22050
118,6.84375,22050
119,5.65625,22050
120,8.625,22050
121,7.875,22050
122,10.0625,22050
123,6.046875,22050
124,8.65625,22050
125,8.71875,22050
126,6.125,22050
127,6.875,22050
128,11.75,22050
129,3.625,22050
130,8.6875,22050
131,1.859375,22050
132,6.796875,22050
133,13.953125,22050
134,11.609375,22050
135,4.609375,22050
136,9.875,22050
137,5.140625,22050
138,8.671875,22050
139,4.59375,22050
140,11.453125,22050
141,9.9375,22050
142,11.59375,22050
143,9.53125,22050
144,7.578125,22050
145,4.109375,22050
146,12.359375,22050
147,8.21875,22050
148,8.78125,22050
149,11.328125,22050
150,3.65625,22050
151,4.953125,22050
152,6.046875,22050
153,3.53125,22050
154,2.453125,22050
155,2.875,22050
156,5.09375,22050
157,8.71875,22050
158,6.96875,22050
159,6.703125,22050
160,7.328125,22050
161,3.1875,22050
162,4.53125,22050
163,11.109375,22050
164,7.375,22050
165,6.125,22050
166,2.6875,22050
167,6.21875,22050
168,9.609375,22050
169,6.03125,22050
170,4.984375,22050
171,7.921875,22050
172,5.609375,22050
173,9.34375,22050
174,5.3125,22050
175,6.984375,22050
176,6.34375,22050
177,4.546875,22050
178,6.28125,22050
179,4.484375,22050
180,11.875,22050
181,8.09375,22050
182,9.296875,22050
183,10.40625,22050
184,10.1875,22050
185,11.421875,22050
186,15.09375,22050
187,13.46875,22050
188,34.328125,22050
189,10.546875,22050
190,16.171875,22050
191,48.375,22050
192,10.234375,22050
193,14.78125,22050
194,16.328125,22050
195,18.171875,22050
196,53.8125,22050
197,27.59375,22050
198,9.921875,22050
199,37.09375,22050
200,25.609375,22050
201,40.21875,22050
202,17.6875,22050
203,12.203125,22050
204,18.796875,22050
205,7.390625,22050
206,12.8125,22050
207,10.859375,22050
208,36.875,22050
209,13.765625,22050
210,24.3125,22050
211,9.078125,22050
212,45.65625,22050
213,5.6875,22050
214,73.328125,22050
215,19.359375,22050
216,3.640625,22050
217,19.34375,22050
218,5.828125,22050
219,4.234375,22050
220,6.296875,22050
221,7.0,22050
222,4.0,22050
223,3.140625,22050
224,4.109375,22050
225,6.28125,22050
226,3.875,22050
227,9.078125,22050
228,37.609375,22050
229,6.0,22050
230,17.6875,22050
231,12.71875,22050
232,0.90625,22050
233,11.171875,22050
234,13.34375,22050
235,15.453125,22050
236,1.84375,22050
237,28.8125,22050
238,4.4375,22050
239,5.390625,22050
240,13.75,22050
241,0.90625,22050
242,11.359375,22050
243,14.234375,22050
244,2.140625,22050
245,11.328125,22050
246,15.5,22050
247,16.71875,22050
248,15.765625,22050
249,11.328125,22050
250,19.953125,22050
251,11.5625,22050
252,14.671875,22050
253,8.1875,22050
254,14.953125,22050
255,11.140625,22050
256,8.734375,22050
257,9.8125,22050
258,3.578125,22050
259,9.265625,22050
260,9.21875,22050
261,6.65625,22050
262,11.90625,22050
263,8.828125,22050
264,5.390625,22050
265,13.015625,22050
266,2.90625,22050
267,6.203125,22050
268,6.59375,22050
269,5.953125,22050
270,7.046875,22050
271,10.578125,22050
272,8.671875,22050
273,6.0625,22050
274,5.5625,22050
275,10.953125,22050
